Time,Trust
10.700000,1216.034546
10.710000,1221.095947
10.720000,1226.170044
10.730000,1231.256958
10.740000,1236.356567
10.750000,1241.468994
10.760000,1246.593994
10.770000,1251.731689
10.780000,1256.882080
10.790000,1262.045044
10.800000,1267.220581
10.810000,1272.408691
10.820000,1277.609253
10.830000,1282.822266
10.840000,1288.047852
10.850000,1293.285767
10.860000,1298.536011
10.870000,1303.798706
10.880000,1309.073730
10.890000,1314.360962
10.900000,1319.660522
10.910000,1324.972290
10.920000,1330.296143
10.930000,1335.632202
10.940000,1340.980347
10.950000,1346.340576
10.960000,1351.712891
10.970000,1357.097046
10.980000,1362.493286
10.990000,1367.901367
11.000000,1373.321411
11.010000,1378.753174
11.020000,1384.196777
11.030000,1389.652222
11.040000,1395.119263
11.050000,1400.598022
11.060000,1406.088379
11.070000,1411.590332
11.080000,1417.103882
11.090000,1422.628784
11.100000,1428.165283
11.110000,1433.713135
11.120000,1439.272339
11.130000,1444.842773
11.140000,1450.424561
11.150000,1456.017578
11.160000,1461.621704
11.170000,1467.237061
11.180000,1472.863403
11.190000,1478.500732
11.200000,1484.149048
11.210000,1489.808350
11.220000,1495.478516
11.230000,1501.159424
11.240000,1506.851196
11.250000,1512.553589
11.260000,1518.266724
11.270000,1523.990356
11.280000,1529.724609
11.290000,1535.469360
11.300000,1541.224487
11.310000,1546.990112
11.320000,1552.765991
11.330000,1558.552124
11.340000,1564.348511
11.350000,1570.155029
11.360000,1575.971558
11.370000,1581.798218
11.380000,1587.634766
11.390000,1593.481323
11.400000,1599.337646
11.410000,1605.203857
11.420000,1611.079712
11.430000,1616.965210
11.440000,1622.860352
11.450000,1628.765015
11.460000,1634.679199
11.470000,1640.602661
11.480000,1646.535522
11.490000,1652.477661
11.500000,1658.428955
11.510000,1664.389404
11.520000,1670.358887
11.530000,1676.337402
11.540000,1682.324829
11.550000,1688.321167
11.560000,1694.326172
11.570000,1700.339966
11.580000,1706.362305
11.590000,1712.393311
11.600000,1718.432739
11.610000,1724.480591
11.620000,1730.536743
11.630000,1736.601196
11.640000,1742.673828
11.650000,1748.754517
11.660000,1754.843262
11.670000,1760.939941
11.680000,1767.044556
11.690000,1773.156982
11.700000,1779.276978
11.710000,1785.404663
11.720000,1791.539917
11.730000,1797.682617
11.740000,1803.832764
11.750000,1809.990112
11.760000,1816.154785
11.770000,1822.326416
11.780000,1828.505249
11.790000,1834.690918
11.800000,1840.883545
11.810000,1847.082886
11.820000,1853.288818
11.830000,1859.501465
11.840000,1865.720703
11.850000,1871.946167
11.860000,1878.178101
11.870000,1884.416260
11.880000,1890.660522
11.890000,1896.910767
11.900000,1903.166992
11.910000,1909.429199
11.920000,1915.697021
11.930000,1921.970581
11.940000,1928.249634
11.950000,1934.534180
11.960000,1940.824219
11.970000,1947.119385
11.980000,1953.419800
11.990000,1959.725220
12.000000,1966.035645
12.010000,1972.350830
12.020000,1978.670898
12.030000,1984.995605
12.040000,1991.324829
12.050000,1997.658447
12.060000,2003.996460
12.070000,2010.338745
12.080000,2016.685181
12.090000,2023.035522
12.100000,2029.389771
12.110000,2035.747925
12.120000,2042.109619
12.130000,2048.475098
12.140000,2054.843750
12.150000,2061.216064
12.160000,2067.591309
12.170000,2073.969727
12.180000,2080.351318
12.190000,2086.735596
12.200000,2093.122803
12.210000,2099.512695
12.220000,2105.905029
12.230000,2112.299805
12.240000,2118.696777
12.250000,2125.095947
12.260000,2131.497070
12.270000,2137.900391
12.280000,2144.305176
12.290000,2150.711914
12.300000,2157.120117
12.310000,2163.529785
12.320000,2169.940674
12.330000,2176.352783
12.340000,2182.765869
12.350000,2189.179932
12.360000,2195.594727
12.370000,2202.010010
12.380000,2208.426025
12.390000,2214.842285
12.400000,2221.259033
12.410000,2227.675781
12.420000,2234.092285
12.430000,2240.509033
12.440000,2246.925049
12.450000,2253.341064
12.460000,2259.756104
12.470000,2266.170654
12.480000,2272.584473
12.490000,2278.997070
12.500000,2285.408447
12.510000,2291.818848
12.520000,2298.227539
12.530000,2304.634766
12.540000,2311.040527
12.550000,2317.444092
12.560000,2323.845703
12.570000,2330.245361
12.580000,2336.642334
12.590000,2343.037109
12.600000,2349.429199
12.610000,2355.818604
12.620000,2362.205078
12.630000,2368.588379
12.640000,2374.968506
12.650000,2381.345459
12.660000,2387.718506
12.670000,2394.088135
12.680000,2400.453857
12.690000,2406.815430
12.700000,2413.172852
12.710000,2419.525879
12.720000,2425.874512
12.730000,2432.218506
12.740000,2438.557617
12.750000,2444.891846
12.760000,2451.220947
12.770000,2457.544434
12.780000,2463.862549
12.790000,2470.175049
12.800000,2476.481689
12.810000,2482.782471
12.820000,2489.076904
12.830000,2495.364990
12.840000,2501.646484
12.850000,2507.921387
12.860000,2514.189453
12.870000,2520.450439
12.880000,2526.704102
12.890000,2532.950439
12.900000,2539.188965
12.910000,2545.419922
12.920000,2551.642822
12.930000,2557.857666
12.940000,2564.064209
12.950000,2570.262207
12.960000,2576.451416
12.970000,2582.631836
12.980000,2588.803223
12.990000,2594.965332
13.000000,2601.117920
13.010000,2607.260986
13.020000,2613.394043
13.030000,2619.517334
13.040000,2625.630127
13.050000,2631.732666
13.060000,2637.824707
13.070000,2643.905762
13.080000,2649.975830
13.090000,2656.034668
13.100000,2662.082031
13.110000,2668.117920
13.120000,2674.141846
13.130000,2680.153809
13.140000,2686.153564
13.150000,2692.141113
13.160000,2698.115723
13.170000,2704.077637
13.180000,2710.026367
13.190000,2715.961914
13.200000,2721.884033
13.210000,2727.792480
13.220000,2733.687012
13.230000,2739.567383
13.240000,2745.433350
13.250000,2751.284912
13.260000,2757.121582
13.270000,2762.943359
13.280000,2768.750000
13.290000,2774.541016
13.300000,2780.316650
13.310000,2786.076172
13.320000,2791.819824
13.330000,2797.546875
13.340000,2803.257568
13.350000,2808.951416
13.360000,2814.628174
13.370000,2820.287842
13.380000,2825.929932
13.390000,2831.554443
13.400000,2837.160889
13.410000,2842.749268
13.420000,2848.319336
13.430000,2853.870605
13.440000,2859.402832
13.450000,2864.916260
13.460000,2870.410156
13.470000,2875.884521
13.480000,2881.338867
13.490000,2886.773438
13.500000,2892.187500
13.510000,2897.580811
13.520000,2902.953613
13.530000,2908.304932
13.540000,2913.635254
13.550000,2918.943848
13.560000,2924.230713
13.570000,2929.495361
13.580000,2934.737793
13.590000,2939.957520
13.600000,2945.154541
13.610000,2950.328369
13.620000,2955.478760
13.630000,2960.605469
13.640000,2965.708496
13.650000,2970.787109
13.660000,2975.841553
13.670000,2980.871094
13.680000,2985.875732
13.690000,2990.855225
13.700000,2995.809082
13.710000,3000.737305
13.720000,3005.639404
13.730000,3010.515137
13.740000,3015.364258
13.750000,3020.186768
13.760000,3024.981934
13.770000,3029.749756
13.780000,3034.489746
13.790000,3039.201904
13.800000,3043.885742
13.810000,3048.541016
13.820000,3053.167236
13.830000,3057.764648
13.840000,3062.332520
13.850000,3066.870850
13.860000,3071.378906
13.870000,3075.856934
13.880000,3080.304199
13.890000,3084.720703
13.900000,3089.106201
13.910000,3093.459961
13.920000,3097.782227
13.930000,3102.072266
13.940000,3106.330078
13.950000,3110.554932
13.960000,3114.747070
13.970000,3118.906006
13.980000,3123.031250
13.990000,3127.122559
14.000000,3131.179688
14.010000,3135.202393
14.020000,3139.190430
14.030000,3143.143066
14.040000,3147.060547
14.050000,3150.942139
14.060000,3154.787598
